,id,time,CurX,CurY,CurV,CurRoll,CurPitch,CurAccX,CurAccY,CurAccZ,CurGyroX,CurGyroY,CurGyroZ,Pitch,Roll,abnormal_label
134,334,2023-11-8 13:04,17.8732,5.41319,-0.312824,3.63179,-0.207484,2.129209377,2.237986177,3.237533877,0.373851,0.40437,-0.122074,6.163984977,2.03717681,1
135,335,2023-11-8 13:04,17.8732,5.4099,-0.328767,3.68271,-0.209219,1.784381791,1.893158591,2.892706291,0.335703,0.39674,-0.114444,5.819157391,1.692349224,1
136,336,2023-11-8 13:04,17.8732,5.40654,-0.336464,3.72866,-0.210191,1.439554205,1.548331005,2.547878705,0.320444,0.427259,-0.076296,5.474329805,1.347521638,1
137,337,2023-11-8 13:04,17.8732,5.4031,-0.343611,3.77912,-0.20784,1.094726618,1.203503418,2.203051118,0.350962,0.473036,-0.045777,5.129502218,1.002694052,1
138,338,2023-11-8 13:04,17.8732,5.39951,-0.359005,3.82571,-0.204657,0.749899032,0.858675832,1.858223532,0.39674,0.503555,-0.030518,4.784674632,0.657866466,1
139,339,2023-11-8 13:04,17.8732,5.39585,-0.366152,3.87072,-0.198872,0.405071446,0.513848246,1.513395946,0.411999,0.511185,-0.022888,4.439847046,0.313038879,1
140,340,2023-11-8 13:04,17.8732,5.39212,-0.373299,3.92058,-0.20189,0.06024386,0.16902066,1.16856836,0.38911,0.518814,-0.022888,4.09501946,-0.031788707,1
141,341,2023-11-8 13:04,17.8732,5.38824,-0.388143,3.97486,-0.201949,-0.284583726,-0.175806926,0.823740774,0.335703,0.503555,-0.007629,3.750191874,-0.376616293,1
142,342,2023-11-8 13:04,17.8732,5.38427,-0.39639,4.01735,-0.202271,-0.629411313,-0.520634513,0.478913187,0.305185,0.488296,0,3.405364287,-0.721443879,1
143,343,2023-11-8 13:04,17.8732,5.38023,-0.404637,4.06083,-0.202074,-0.974238899,-0.865462099,0.134085601,0.274666,0.480666,0,3.060536701,-1.066271466,1
144,344,2023-11-8 13:04,17.8732,5.37604,-0.418381,4.1091,-0.20072,-1.319066485,-1.210289685,-0.210741985,0.267036,0.480666,0.007629,2.715709115,-1.411099052,1
145,345,2023-11-8 13:04,17.8732,5.37178,-0.426078,4.15107,-0.199582,-1.663894071,-1.555117271,-0.555569571,0.289925,0.480666,0.038148,2.370881529,-1.755926638,1
146,346,2023-11-8 13:04,17.8732,5.36744,-0.433775,4.19504,-0.203216,-2.008721657,-1.899944857,-0.900397157,0.320444,0.480666,0.061037,2.026053943,-2.100754224,1
147,347,2023-11-8 13:04,17.8732,5.36296,-0.448619,4.24461,-0.204377,-2.353549244,-2.244772444,-1.245224744,0.38911,0.465407,0.053407,1.681226356,-2.44558181,1
148,348,2023-11-8 13:04,17.8732,5.3584,-0.455766,4.28903,-0.204194,-2.69837683,-2.58960003,-1.59005233,0.427259,0.442518,0.030518,1.33639877,-2.790409397,1
